rank,original_index,feature_id,p_value,selected_top250,selected_mixed250
147,3336,U50939_at,7.60497531228224e-06,TRUE,FALSE
148,1291,L11669_at,7.66143485046451e-06,TRUE,FALSE
149,1399,L21936_at,7.86640544788086e-06,TRUE,FALSE
150,65,AB000449_at,8.03223783300226e-06,TRUE,FALSE
151,6726,HG3546-HT3744_s_at,8.12839783870365e-06,TRUE,FALSE
152,2739,U10868_at,8.41095820303893e-06,TRUE,FALSE
153,4229,X52056_at,8.45935059741332e-06,TRUE,FALSE
154,3104,U36621_cds2_at,8.74040232732352e-06,TRUE,FALSE
155,1897,M29064_at,9.06484388270577e-06,TRUE,FALSE
156,1604,L41870_at,9.29811781838604e-06,TRUE,FALSE
157,3784,U79291_at,9.39565681809733e-06,TRUE,FALSE
158,2909,U20998_at,1.07506139136171e-05,TRUE,FALSE
159,5231,Z93784_at,1.10798340309639e-05,TRUE,FALSE
160,3422,U57094_at,1.14005516458382e-05,TRUE,FALSE
161,293,D23673_at,1.141074906046e-05,TRUE,FALSE
162,4831,X95073_at,1.16687611225546e-05,TRUE,FALSE
163,634,D84276_at,1.17963114381083e-05,TRUE,FALSE
164,4592,X77533_at,1.18005800124178e-05,TRUE,FALSE
165,1087,J03798_at,1.22075322548369e-05,TRUE,FALSE
166,3861,U83843_at,1.23207859617077e-05,TRUE,FALSE
167,3359,U51990_at,1.24308265019645e-05,TRUE,FALSE
168,1807,M21551_rna1_at,1.28697311470695e-05,TRUE,FALSE
169,235,D14664_at,1.31616672184736e-05,TRUE,FALSE
170,5823,X75755_rna1_s_at,1.45074770707575e-05,TRUE,FALSE
171,1913,M29971_at,1.47848767938436e-05,TRUE,FALSE
172,332,D28423_at,1.51291856898295e-05,TRUE,FALSE
173,2995,U28833_at,1.56861841983612e-05,TRUE,FALSE
174,3416,U56833_at,1.59044004456372e-05,TRUE,FALSE
175,3611,U68063_at,1.6477786955378e-05,TRUE,FALSE
176,1381,L20298_at,1.68098512617773e-05,TRUE,FALSE
177,5130,Z35227_at,1.73373781493228e-05,TRUE,FALSE
178,6184,M26708_s_at,1.84973319387618e-05,TRUE,FALSE
179,6373,M81695_s_at,1.96054848960971e-05,TRUE,FALSE
180,1615,L42379_at,2.00224042486358e-05,TRUE,FALSE
181,5087,Z23064_at,2.01226520399217e-05,TRUE,FALSE
182,5107,Z29067_at,2.06813818194884e-05,TRUE,FALSE
183,1725,M14636_at,2.08625504517916e-05,TRUE,FALSE
184,2215,M74719_at,2.10621755315389e-05,TRUE,FALSE
185,3888,U86782_at,2.17046698902248e-05,TRUE,FALSE
186,587,D80003_at,2.17255039504692e-05,TRUE,FALSE
187,6185,X64072_s_at,2.21692768607658e-05,TRUE,FALSE
188,2597,U02493_at,2.22067938514571e-05,TRUE,FALSE
189,3938,U90902_at,2.25201169368525e-05,TRUE,FALSE
190,2833,U16954_at,2.27790632228782e-05,TRUE,FALSE
191,4399,X63753_at,2.30389801148593e-05,TRUE,FALSE
192,6623,U72936_s_at,2.30542092561986e-05,TRUE,FALSE
193,885,HG3088-HT3263_at,2.3740605341135e-05,TRUE,FALSE
194,3096,U35451_at,2.37753092678029e-05,TRUE,FALSE
195,590,D80006_at,2.39947910124164e-05,TRUE,FALSE
196,697,D87078_at,2.48888375285411e-05,TRUE,FALSE
197,6725,U46006_s_at,2.52024985510034e-05,TRUE,FALSE
198,3183,U41635_at,2.54393709704719e-05,TRUE,FALSE
199,6847,M13485_at,2.61298213125454e-05,TRUE,FALSE
200,585,D80001_at,2.62289004006293e-05,TRUE,FALSE
201,134,AF005043_at,2.62720717376727e-05,TRUE,FALSE
202,1827,M22898_at,2.68471493128016e-05,TRUE,FALSE
203,5335,M21535_at,2.71653107009185e-05,TRUE,FALSE
204,4546,X74801_at,2.71663967839752e-05,TRUE,FALSE
205,654,D86479_at,2.77099792442195e-05,TRUE,FALSE
206,683,D86983_at,2.93409707778731e-05,TRUE,FALSE
207,4418,X65550_at,2.96788321971546e-05,TRUE,FALSE
208,5683,U19713_s_at,2.98360992279222e-05,TRUE,FALSE
209,2546,S82470_at,3.21318916916474e-05,TRUE,FALSE
210,4377,X62654_rna1_at,3.25958820665826e-05,TRUE,FALSE
211,6806,X14008_rna1_f_at,3.30269852199018e-05,TRUE,FALSE
212,284,D21262_at,3.37016533628728e-05,TRUE,FALSE
213,1159,K01911_at,3.37986585517945e-05,TRUE,FALSE
214,4230,X52142_at,3.4547735353613e-05,TRUE,FALSE
215,6120,M34458_rna1_s_at,3.65061851604716e-05,TRUE,FALSE
216,2577,U01062_at,3.71916527794559e-05,TRUE,FALSE
217,5094,Z24727_at,3.72432764735916e-05,TRUE,FALSE
218,6797,J03801_f_at,3.74567205516746e-05,TRUE,FALSE
219,4714,X84709_at,3.7696858282649e-05,TRUE,FALSE
220,2295,M85169_at,3.85157371692492e-05,TRUE,FALSE
221,352,D30037_at,3.88246458478335e-05,TRUE,FALSE
222,6803,M19045_f_at,3.96049352677228e-05,TRUE,FALSE
223,4752,X87613_at,4.14533489289515e-05,TRUE,FALSE
224,3108,U36922_at,4.2536268207075e-05,TRUE,FALSE
225,5352,M69181_at,4.29516050145535e-05,TRUE,FALSE
226,4653,X80907_at,4.4462863284665e-05,TRUE,FALSE
227,3017,U30828_at,4.50654397124185e-05,TRUE,FALSE
228,200,D13627_at,4.6694952417551e-05,TRUE,FALSE
229,353,D30655_at,4.88996511733779e-05,TRUE,FALSE
230,88,AB002559_at,4.89283657780073e-05,TRUE,FALSE
231,4195,X17025_at,4.89737588325017e-05,TRUE,FALSE
232,515,D63391_at,4.98458912297412e-05,TRUE,FALSE
233,1649,L76703_at,5.02572637946592e-05,TRUE,FALSE
234,1779,M19507_at,5.17013024047912e-05,TRUE,FALSE
235,6201,Y00787_s_at,5.25696782552656e-05,TRUE,FALSE
236,5361,M93651_at,5.32655657137818e-05,TRUE,FALSE
237,6169,M13690_s_at,5.35936395307897e-05,TRUE,FALSE
238,1268,L10373_at,5.48052148674608e-05,TRUE,FALSE
239,3135,U38545_at,5.60718105152838e-05,TRUE,FALSE
240,2498,S76965_at,5.92483043010046e-05,TRUE,FALSE
241,3714,U77604_at,6.00732097026337e-05,TRUE,FALSE
242,3012,U30255_at,6.08493664488309e-05,TRUE,FALSE
243,6388,S54005_s_at,6.16277986435344e-05,TRUE,FALSE
244,1543,L38810_at,6.20921486343089e-05,TRUE,FALSE
245,2014,M54992_at,6.30698306726527e-05,TRUE,FALSE
246,6179,M14328_s_at,6.52743168516628e-05,TRUE,FALSE
247,2485,S74221_at,6.61615088519068e-05,TRUE,FALSE
248,6920,X17093_at,6.70937767006799e-05,TRUE,FALSE
249,695,D87076_at,6.86027841955146e-05,TRUE,FALSE
250,3899,U88666_at,7.0368763253035e-05,TRUE,FALSE
251,2659,U07132_at,7.0438831082525e-05,FALSE,FALSE
252,972,HG4074-HT4344_at,7.07709723844092e-05,FALSE,FALSE
253,671,D86970_at,7.24927332487126e-05,FALSE,FALSE
254,156,AF015950_at,7.25818147795604e-05,FALSE,FALSE
255,3014,U30521_at,7.40195993936617e-05,FALSE,FALSE
256,2912,U21090_at,7.42225436412165e-05,FALSE,FALSE
257,5833,U05572_s_at,7.44452162306705e-05,FALSE,FALSE
258,1902,M29474_at,7.57225362337464e-05,FALSE,FALSE
259,6376,M83652_s_at,7.66798056802047e-05,FALSE,FALSE
260,7046,J00148_cds2_f_at,7.69286339279479e-05,FALSE,FALSE
261,4697,X83378_at,7.72136339968637e-05,FALSE,FALSE
262,2402,M96326_rna1_at,7.87065964705498e-05,FALSE,FALSE
263,5583,D17408_s_at,7.88970727996516e-05,FALSE,FALSE
264,3371,U52427_rna1_at,7.91845796638676e-05,FALSE,FALSE
265,155,AF015913_at,7.97334265116349e-05,FALSE,FALSE
266,2385,M94633_at,7.97491532823408e-05,FALSE,FALSE
267,900,HG3254-HT3431_at,8.06080804381164e-05,FALSE,FALSE
268,2598,U02556_at,8.25535294574122e-05,FALSE,FALSE
269,833,HG2274-HT2370_at,8.56241876184805e-05,FALSE,FALSE
270,4823,X94232_at,8.5870555571634e-05,FALSE,FALSE
271,1249,L08246_at,8.68003677410146e-05,FALSE,FALSE
272,3355,U51678_at,8.72980801307847e-05,FALSE,FALSE
273,6588,U59877_s_at,8.73303268925511e-05,FALSE,FALSE
274,2793,U14588_at,8.74579795210669e-05,FALSE,FALSE
275,3939,U90904_at,8.80480760894172e-05,FALSE,FALSE
276,3004,U29656_at,8.82280179660571e-05,FALSE,FALSE
277,3562,U65932_at,9.063568936334e-05,FALSE,FALSE
278,2956,U25849_at,9.25678812613617e-05,FALSE,FALSE
279,4091,X06614_at,9.29322421809572e-05,FALSE,FALSE
280,5468,X63468_at,9.54427384692122e-05,FALSE,FALSE
281,1539,L38608_at,9.59429246787092e-05,FALSE,FALSE
282,372,D31886_at,9.6030233129975e-05,FALSE,FALSE
283,3469,U59878_at,9.92717015001527e-05,FALSE,FALSE
284,1055,J02645_at,9.93360164487779e-05,FALSE,FALSE
285,4141,X13973_at,9.99472021886637e-05,FALSE,FALSE
286,4381,X63097_at,0.000100587660283514,FALSE,FALSE
287,5280,J02783_at,0.00010250431761352,FALSE,FALSE
288,6237,Z68228_s_at,0.000102716145707064,FALSE,FALSE
289,4894,X98411_at,0.000104628652202483,FALSE,FALSE
290,1241,L07758_at,0.000105407961972547,FALSE,FALSE
291,6967,M15395_at,0.000106125983960152,FALSE,FALSE
292,6561,U41767_s_at,0.000106223633474938,FALSE,FALSE
293,4898,X98833_rna1_at,0.000106339856085385,FALSE,FALSE
294,288,D21852_at,0.000106719897382173,FALSE,FALSE
295,1135,J05032_at,0.00010817887568871,FALSE,FALSE
296,4801,X92106_at,0.000108273814304068,FALSE,FALSE
297,5119,Z30426_at,0.000111853480223881,FALSE,FALSE
298,1787,M19989_cds2_at,0.000112242513848363,FALSE,FALSE
299,3897,U88047_at,0.000113084850115118,FALSE,FALSE
300,2001,M37435_at,0.000113413137162553,FALSE,FALSE
301,350,D29963_at,0.000113829632182292,FALSE,FALSE
302,3344,U51240_at,0.000114418972505079,FALSE,FALSE
303,6768,U90546_at,0.000114733164397792,FALSE,FALSE
304,3645,U70867_at,0.000117880504934064,FALSE,FALSE
305,6539,X85116_rna1_s_at,0.000118987485823371,FALSE,FALSE
306,2709,U09413_at,0.000120397968135392,FALSE,FALSE
307,3170,U40462_at,0.000122671422231762,FALSE,FALSE
308,173,D10495_at,0.000126033428579948,FALSE,FALSE
309,403,D38551_at,0.00012814846957655,FALSE,FALSE
310,3258,U46751_at,0.000129144195551873,FALSE,FALSE
311,2223,M76378_at,0.000129772043264359,FALSE,FALSE
312,5600,D28473_s_at,0.000132330811427476,FALSE,FALSE
313,3674,U73167_cds5_at,0.000132510822387426,FALSE,FALSE
314,1384,L20321_at,0.000136883226326328,FALSE,FALSE
315,2951,U25435_at,0.00013821954054699,FALSE,FALSE
316,1887,M28214_at,0.000139200773873341,FALSE,FALSE
317,463,D50063_at,0.000140019427374549,FALSE,FALSE
318,6598,U61397_s_at,0.000140820583813799,FALSE,FALSE
319,6644,U90552_at,0.000142186390473197,FALSE,FALSE
320,6463,U06155_at,0.0001426321201098,FALSE,FALSE
321,6055,U37055_rna1_s_at,0.000143702995380687,FALSE,FALSE
322,1933,M31627_at,0.000144359572958629,FALSE,FALSE
323,5750,HG2379-HT3996_s_at,0.000146527003090401,FALSE,FALSE
324,4334,X59711_at,0.000147184153554013,FALSE,FALSE
325,2419,M97856_at,0.000147500653763831,FALSE,FALSE
326,3494,U61145_at,0.00014774431784206,FALSE,FALSE
327,3775,U79277_at,0.000153490957966022,FALSE,FALSE
328,4723,X85372_at,0.00015360205211603,FALSE,FALSE
329,5409,U37426_at,0.000155819826648599,FALSE,FALSE
330,4005,U97188_at,0.00015619228369542,FALSE,FALSE
331,6971,M24069_at,0.000156649717565823,FALSE,FALSE
332,3780,U79287_at,0.000157955135562447,FALSE,FALSE
333,5766,HG2562-HT2658_s_at,0.000161875707743933,FALSE,FALSE
334,4532,X74008_at,0.000163627071690943,FALSE,FALSE
335,2123,M63167_at,0.000163957011058493,FALSE,FALSE
336,729,D87459_at,0.000166967698963741,FALSE,FALSE
337,283,D21261_at,0.000168827604820347,FALSE,FALSE
338,4052,X04085_rna1_at,0.000170530319093246,FALSE,FALSE
339,3561,U65928_at,0.000171257174588561,FALSE,FALSE
340,3769,U79270_at,0.000173776353776693,FALSE,FALSE
341,2184,M69023_at,0.000175622986658558,FALSE,FALSE
342,4499,X70297_at,0.000177736932442352,FALSE,FALSE
343,4169,X15573_at,0.000184399075826916,FALSE,FALSE
344,1217,L06132_at,0.000184534640330233,FALSE,FALSE
345,6021,L00634_s_at,0.00018959476484449,FALSE,FALSE
346,6923,X58399_at,0.000190142103701962,FALSE,FALSE
347,6162,X07438_s_at,0.000190917080817055,FALSE,FALSE
348,760,D88422_at,0.000192897214980778,FALSE,FALSE
349,5082,Z22551_at,0.000193740516474936,FALSE,FALSE
350,5189,Z68747_at,0.000193851497283614,FALSE,FALSE
351,171,D00763_at,0.000196946197538692,FALSE,FALSE
352,1927,M31210_at,0.000198342640632316,FALSE,FALSE
353,4177,X15949_at,0.00019994071823465,FALSE,FALSE
354,400,D38548_at,0.000200386745473012,FALSE,FALSE
355,5215,Z83741_at,0.00020070720584971,FALSE,FALSE
356,922,HG3494-HT3688_at,0.000201939474025064,FALSE,FALSE
357,4756,X87852_at,0.000202436854045778,FALSE,FALSE
358,5415,U41654_at,0.000204753428810015,FALSE,FALSE
359,4727,X85750_at,0.000205245973502565,FALSE,FALSE
360,4740,X86691_at,0.000206813195021661,FALSE,FALSE
361,3702,U76272_at,0.000213395666187756,FALSE,FALSE
362,3660,U72342_at,0.00021402026548633,FALSE,FALSE
363,2528,S80562_at,0.000215817004847497,FALSE,FALSE
364,5188,Z68204_at,0.00021807630721793,FALSE,FALSE
365,5466,X58072_at,0.000218828667726893,FALSE,FALSE
366,1804,M21259_at,0.000220203468079247,FALSE,FALSE
367,4939,Y00636_at,0.000220800950837897,FALSE,FALSE
368,2655,U06681_at,0.00022117715736261,FALSE,FALSE
369,4450,X66945_at,0.000222873056411252,FALSE,FALSE
370,5406,U35376_at,0.000227293494521815,FALSE,FALSE
371,6910,U84388_at,0.000228080486366606,FALSE,FALSE
372,4077,X05323_at,0.000233139758588152,FALSE,FALSE
373,6314,M38449_s_at,0.000233221216720633,FALSE,FALSE
374,5530,AF012024_s_at,0.000233883166677558,FALSE,FALSE
375,1753,M16505_at,0.000234333077412845,FALSE,FALSE
376,2141,M63959_at,0.000234656620578277,FALSE,FALSE
377,1010,HG4582-HT4987_at,0.000234771534894105,FALSE,FALSE
378,4254,X53793_at,0.000236579401030294,FALSE,FALSE
379,2254,M81118_at,0.000238112554755188,FALSE,FALSE
380,2324,M88108_at,0.000242423071315377,FALSE,FALSE
381,5839,X68505_s_at,0.000255679915240149,FALSE,FALSE
382,4764,X89398_cds2_at,0.000256231165276153,FALSE,FALSE
383,5637,D43682_s_at,0.00026381568417571,FALSE,FALSE
384,6477,U09820_s_at,0.000268747478594877,FALSE,FALSE
385,275,D21063_at,0.00026897410949867,FALSE,FALSE
386,2942,U24704_at,0.00027235461611604,FALSE,FALSE
387,5467,X59739_at,0.000280996630884509,FALSE,FALSE
388,1400,L21954_at,0.000283234643076986,FALSE,FALSE
389,1277,L10838_at,0.000290683643371598,FALSE,FALSE
390,5296,L06133_at,0.000292506850743994,FALSE,FALSE
391,1086,J03779_at,0.000292679560797055,FALSE,FALSE
392,1619,L42542_at,0.000295241171248752,FALSE,FALSE
393,997,HG4321-HT4591_at,0.000295858397689717,FALSE,FALSE
394,4107,X07743_at,0.000299194745436093,FALSE,FALSE
395,894,HG3162-HT3339_at,0.000301211445887266,FALSE,FALSE
396,2488,S74728_at,0.000301811942085308,FALSE,FALSE
397,3119,U37352_at,0.000308970689748933,FALSE,FALSE
398,484,D50912_at,0.000311503190562695,FALSE,FALSE
399,865,HG270-HT270_at,0.000312575902139338,FALSE,FALSE
400,4489,X69819_at,0.000314496246793217,FALSE,FALSE
401,1839,M23613_at,0.000316888501316107,FALSE,FALSE
402,3163,U40369_rna1_at,0.000318553733671799,FALSE,FALSE
403,1245,L07956_at,0.000328648120366615,FALSE,FALSE
404,3904,U88964_at,0.0003402677471508,FALSE,FALSE
405,5657,D63479_s_at,0.00034363885271004,FALSE,FALSE
406,6012,K02777_s_at,0.000352005249543474,FALSE,FALSE
407,5939,J02621_s_at,0.000352329699303669,FALSE,FALSE
408,2979,U28042_at,0.000357715023503221,FALSE,FALSE
409,2817,U15555_at,0.000358484837493577,FALSE,FALSE
410,3065,U33429_at,0.000362636290832838,FALSE,FALSE
411,4053,X04106_at,0.000365728318224699,FALSE,FALSE
412,770,D89052_at,0.000367867397921746,FALSE,FALSE
413,5437,U94836_at,0.000373274658797592,FALSE,FALSE
414,3962,U91985_at,0.00038093861707261,FALSE,FALSE
415,1154,J05614_at,0.000382430052884031,FALSE,FALSE
416,4030,X02317_at,0.000385611071047768,FALSE,FALSE
417,4748,X87212_at,0.000387041202261466,FALSE,FALSE
418,500,D50930_at,0.000392580650138552,FALSE,FALSE
419,6405,M98399_s_at,0.000392738439726739,FALSE,FALSE
420,4094,X06745_at,0.000393146348671763,FALSE,FALSE
421,92,AB003698_at,0.000394045467446505,FALSE,FALSE
422,4975,Y08614_at,0.000395502023405509,FALSE,FALSE
423,1670,M10901_at,0.000397877969710794,FALSE,FALSE
424,3038,U31814_at,0.000401548294961063,FALSE,FALSE
425,2248,M80563_at,0.000407589026070533,FALSE,FALSE
426,4996,Y09980_rna4_at,0.000409301847107094,FALSE,FALSE
427,4373,X62320_at,0.000410572629836751,FALSE,FALSE
428,6181,M14483_rna1_s_at,0.000419187500880549,FALSE,FALSE
429,5328,M14745_at,0.000423081511049113,FALSE,FALSE
430,5249,D25304_at,0.000425730174194886,FALSE,FALSE
431,2114,M62810_at,0.000425764870093085,FALSE,FALSE
432,7019,M27749_at,0.000426507378793256,FALSE,FALSE
433,1731,M15059_at,0.000431419358592054,FALSE,FALSE
434,5184,Z50853_at,0.000435356378063042,FALSE,FALSE
435,782,D90224_at,0.000437704837803013,FALSE,FALSE
